"Data Source","World Development Indicators",

"Last Updated Date","2019-01-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Antigua and Barbuda","ATG","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","322802898.459373","336953376.445599","364178351.165678","393900515.273646","408927489.70697","408583940.465355","430500449.519613","474260801.249058","510512318.010032","569189728.6472","606906339.504582","638546023.230511","672084214.176124","692325015.979788","707396041.086395","715590008.373552","753373678.194651","803670388.310695","768634417.980132","819401313.652525","864231854.192054","905121377.954157","938682324.49255","1001496498.43775","951881606.627174","961629833.390877","1019884488.65454","1078389759.3889","1147540484.14892","1293605271.42034","1413385625.56558","1412959729.93684","1241885106.24758","1152469068.51852","1128507775.4842","1168080145.02604","1166866906.03994","1221221065.34845","1270384239.04835","1341395404.02289","1382074643.03003","",
"Australia","AUS","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","199233335311.047","204185489129.557","206832708442.16","219685868796.259","235017138629.724","249079271685.863","255013563382.021","271085501763.945","284899661266.538","304968445514.788","326841338993.587","339927838396.432","353228164174.958","362460910647.293","377331193579.577","382426440333.903","392323430718.522","406436784541.459","410081589264.555","426663296230.325","439609141781.487","454282671927.023","469401741440.896","458980347967.632","480006879252.198","505203431376.55","525690112039.628","538860353331.047","569473298287.268","591498228010.372","612582484286.091","610208442396.41","612909321559.945","637665212484.226","663034939582.038","688424992380.96","715126459415.518","743491381828.941","777519044571.69","816535447394.947","848732984009.725","865139889945.946","899771632525.692","926636518197.177","963712223078.423","994457691605.883","1022642934821.49","1061271523267.56","1100090360276.03","1121242097879.43","1144260547872.81","1172307576320.87","1217933084117.14","1250080212993.17","1282061484148.13","1312204498894.69","1349304594617.26","1375718249724.1","",
"Austria","AUT","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","91836703339.5229","96922600975.7382","99489765786.6089","103606918511.136","109952172697.415","113778700633.421","120199075025.325","123814720654.546","129352102232.948","137470068345.607","146159747322.549","153635772670.608","163173267863.473","171153151159.323","177900244807.952","177253158036.877","185368597102.924","194785286243.434","194374964316","204787047701.607","208332905591.186","208032292628.472","212216351195.68","218525730110.73","218637779730.792","224100834862.979","229258275343.493","232369695258.041","240028322052.062","249358402441.892","260194624813.073","269149554294.002","274784266755.542","276231856329.01","282867273580.389","290414126234.635","297237508056.37","303460462050.854","314328689139.021","325507255365.782","336495475309.688","340759446602.411","346387257223.224","349648400806.147","359211698966.039","367272649488.203","379958397501.957","394121024471.145","399876867204.146","384823180705.023","391892746544.69","403346978477.779","406091530301.534","406195100294.014","409561376690.276","414033189912.921","420040461384.701","432789834749.335","",
"Azerbaijan","AZE","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22325675014.6271","22169395298.4412","17159111873.5004","13195357108.1839","10595871755.3639","9345558792.93588","9467051075.91296","10016140087.9139","11017754124.5694","11833067993.8748","13146538452.8659","14448045759.6996","15979538494.8706","17769246844.1912","19581710093.0734","24751281715.9126","33290473786.6938","41629404406.7868","46113899018.7892","50453518392.5171","52902703376.1056","52937578302.4383","54102205124.8452","57238335961.2495","58383102680.4744","59025316698.5035","57195531761.5917","57252727186.9126","",
"Burundi","BDI","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","597069961.546072","514995918.26075","561670811.689447","584898188.110763","621589073.145239","646248914.035703","676060330.530198","769502134.875392","767209913.650335","756012169.305851","917236835.232064","942431759.973465","882078760.642376","942845613.83468","935992638.90365","942525120.939625","1017386695.90918","1134075385.27516","1123408544.50219","1142112790.67558","1153431764.87503","1293726848.95154","1280096145.19707","1327655902.79585","1329720991.95726","1486404412.37271","1534715238.11495","1619172092.81896","1700633035.37323","1723583116.10835","1783905459.60785","1873044297.8728","1891962014.67317","1773903584.97266","1705963077.72688","1570850801.9597","1445182737.78136","1422204332.2911","1489759037.96207","1474712471.73528","1462076190.5881","1492133656.85778","1558481669.66612","1539410093.7348","1613819909.2142","1628344288.44335","1716499707.8749","1775752462.2736","1862084450.49236","1933081018.33396","2032135246.50004","2114083183.17763","2208090293.90699","2316820971.52452","2415069278.13462","2320881501.74636","2306955748.5603","2318490757.99747","",
"Belgium","BEL","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","120764863189.279","126777048990.526","133384673232.843","139189019707.401","148871960992.012","154172785119.867","159038316308.665","165190152085.361","172118441191.469","183529549253.245","193792159413.007","201516380314.862","212187890638.539","225729089706.297","236034205156.039","231393910573.886","244474020273.279","246004806085.374","252996008246.37","258918829646.89","270425322309.484","269670068733.525","271274570421.547","272120520451.829","278832053833.577","283437781732.075","288604178235.647","295261293665.336","309207101358.308","319934011562.337","329971629163.815","336020254199.932","341163564395.922","337882003882.909","348785359740.469","357103043851.13","362793146259.837","376254386247.224","383686442689.972","397358386026.319","411797007026.657","415138919310.621","422530493925.208","425803276682.695","441279866082.047","450521469885.385","461812169170.948","477739949852.491","481481480330.318","470632861743.554","483548031197.108","492243688300.301","493399461340.966","494389469549.126","500783236684.815","507929197181.313","515102640677.261","524012714948.032","",
"Benin","BEN","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","1265426252.94345","1305176840.54665","1260456133.07626","1320076060.7892","1407871139.77503","1482401906.79932","1535410564.13499","1551968411.17281","1611600246.49176","1657974010.96677","1692754286.41874","1667416432.2107","1774570740.64173","1840339265.9851","1901793938.89223","1808694555.93412","1824689860.78429","1915626267.4681","1939668871.92687","2066440729.96277","2206581860.81568","2426230120.12225","2480457972.97837","2372612057.3104","2560756386.93725","2753589661.14604","2813373991.71362","2771173298.85902","2865538547.23059","2783751478.01027","3033624750.94295","3161819648.03392","3255337130.07533","3445324207.02456","3514933552.72688","3727418268.32545","3888602421.28731","4111601652.35799","4274462692.87475","4502780953.5408","4766643561.74839","5020725247.66353","5253911326.863","5434858389.27326","5675602453.88052","5772744795.73959","6000595826.4159","6359822426.97484","6670811297.13694","6826194585.37376","6970240895.49888","7176751732.08258","7522418417.64518","8063258961.67978","8575423619.90242","8755148067.02613","9102277422.82945","9633652295.47865","",
"Burkina Faso","BFA","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","1153497471.75521","1200144078.72412","1273698494.39634","1257547788.94945","1286255331.61624","1334676997.28504","1341852395.43964","1460248258.7904","1505089181.74741","1535583508.30374","1537380442.1502","1559108853.07615","1595147634.58968","1602315070.06168","1735089730.35784","1787114363.9664","1939642697.91623","1946826233.6606","2036532579.66401","2111163790.67383","2127987208.88243","2218539520.81643","2430680631.95068","2439090416.0079","2395706395.59655","2599757453.52648","2806577589.00363","2799944613.51917","2962218006.55865","3025913610.99051","3007669516.04935","3280464673.78828","3288098668.1456","3401912420.09734","3446647815.81348","3643671090.83705","4045012128.92928","4300528860.1238","4614799451.96413","4956487462.32454","5046707523.52324","5380466456.43255","5614678393.87183","6052760301.03174","6323831618.4998","6871593161.43807","7301284780.41566","7714172808.44856","8276883001.25427","8522045465.25424","8979966766.07232","9575057057.97374","10192906645.5417","10783339866.97","11249917444.6573","11688050885.8802","12381635616.5773","13161938186.8","",
"Bangladesh","BGD","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","17862545310.7226","18944687033.1706","19977746684.2347","19886669277.8428","22064814112.6956","22419232005.0757","22994691542.7769","22563342420.6917","24704480424.0584","25006087027.2168","26411392182.3557","24964184430.4711","21475757025.4792","22189972024.4145","24318424444.0714","23324235189.0411","24644704390.5094","25303471152.2294","27093397642.2551","28394323597.912","28626913390.8931","30697768187.1802","31352959198.5596","32569782092.7714","34134209697.98","35274979988.1662","36747139850.6845","38133389635.1624","39054790276.5184","40162611478.0515","42420657179.7908","43899113723.2774","46288404442.7889","48469311189.3945","50354828679.5772","52933639390.898","55327785139.4964","57811945426.5395","60804885377.3372","63644568604.0114","67013463192.5145","70415929567.4442","73115059421.307","76580396941.519","80592852042.2251","85860356477.7026","91588877878.6561","98053769823.2911","103950517391.466","109194950718.059","115279077465.226","122731159566.449","130734992458.51","138596885516.148","146997325017.061","156629549345.307","167771375851.352","179992151721.964","",
"Bulgaria","BGR","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","28567896236.6319","29967769392.1754","30667386625.1523","31719371801.814","32796702382.564","33676782455.6654","35093767429.2676","37218524434.8179","41291977325.0305","39933519967.5105","36292630364.1532","33227588804.6568","30811149654.799","30355078448.626","30906937186.95","31790934141.0586","32014958711.2495","31666373358.603","33676864762.4205","30845268715.3107","32315283606.3355","33533640178.6923","35524705563.8283","37356436983.8906","39760457560.5794","42592798158.9278","45520779748.2063","48864017869.2297","51806552050.9002","49948693651.0085","50610058210.3696","51579193177.2032","51595167185.5963","51850006768.6476","52802761608.2307","54635643698.3891","56786516853.9326","58950791931.772","",
"Bahrain","BHR","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","7624221103.47913","7218864341.89657","6673391235.87742","7098911806.39139","7454116226.23047","7099429359.04756","7183415176.43469","7930419191.02771","8485547872.1663","8516435872.13312","8894395055.67055","9893235511.91183","10555092806.0632","11913533954.1921","11883749942.4451","12350780310.4502","12858398136.4749","13256108363.4132","13891076323.6746","14488392461.1778","15256276507.3657","15636315475.986","16201435104.2376","17177401647.9676","18376546950.2211","19620444333.8462","20889606053.0421","22621864899.6304","24034629395.827","24645054296.3673","25713271276.5957","26223377131.9619","27202099523.9053","28675502255.2549","29922841390.6393","30779223483.5898","31769062885.3112","33003237140.6953","",
